Time,CO,C6H6,T,RH,NOx
0,2.6,11.9,13.6,48.9,166
1,2,9.4,13.3,47.7,103
2,2.2,9,11.9,54,131
3,2.2,9.2,11,60,172
4,1.6,6.5,11.2,59.6,131
5,1.2,4.7,11.2,59.2,89
6,1.2,3.6,11.3,56.8,62
7,1,3.3,10.7,60,62
8,0.9,2.3,10.7,59.7,45
9,0.6,1.7,10.3,60.2,-200
10,-200,1.3,10.1,60.5,21
11,0.7,1.1,11,56.2,16
12,0.7,1.6,10.5,58.1,34
13,1.1,3.2,10.2,59.6,98
14,2,8,10.8,57.4,174
15,2.2,9.5,10.5,60.6,129
16,1.7,6.3,10.8,58.4,112
17,1.5,5,10.5,57.9,95
18,1.6,5.2,9.5,66.8,104
19,1.9,7.3,8.3,76.4,146
20,2.9,11.5,8,81.1,207
21,2.2,8.8,8.3,79.8,184
22,2.2,8.3,9.7,71.2,193
23,2.9,11.2,9.8,67.6,243
0,4.8,20.8,10.3,64.2,281
1,6.9,27.4,9.7,69.3,383
2,6.1,24,9.6,67.8,351
3,3.9,12.8,9.1,64,240
4,1.5,4.7,8.2,63.4,94
5,1,2.6,8.2,60.8,47
6,1.7,5.9,8.3,58.5,122
7,1.9,6.4,7.7,59.7,133
8,1.4,4.1,7.1,61.8,82
9,0.8,1.9,7,62.3,-200
10,-200,1.1,6.1,65.9,21
11,0.6,1,6.3,65,30
12,0.8,1.8,6.8,62.9,56
13,1.4,4.4,6.4,65.1,109
14,4.4,17.9,7.3,63.1,307
15,-200,22.1,9.2,56.2,-200
16,3.1,14,13.2,41.7,187
17,2.7,11.6,14.3,38.4,216
18,2.1,10.2,15,36.5,143
19,2.5,11,16.1,34.5,160
20,2.7,12.8,16.3,35.7,163
21,2.9,14.2,15.8,37,190
22,2.8,12.7,15.9,37.2,178
23,2.4,11.7,16.9,34.3,150
0,3.9,19.3,15.1,39.6,206
1,3.7,18.2,14.4,43.4,202
2,6.6,32.6,12.9,50.5,340
3,4.4,20.1,12.1,53.3,274
4,3.5,14.3,11,59.1,253
5,5.4,21.8,9.7,64.6,300
6,2.7,9.6,9.5,64.1,193
7,1.9,7.4,9.1,63.9,139
8,1.6,5.4,8.8,63.9,83
9,1.7,5.4,7.8,67.5,-200
10,-200,6.2,7,71.1,109
11,1,2.6,8.3,63.6,62
12,1.2,2.9,7.2,67.5,53
13,1.5,5.1,6.3,71.9,139
14,2.7,11.8,6.5,71.6,256
15,3.7,15.1,9.6,59.7,295
16,3.2,12.9,12.4,51.2,250
17,4.1,16.1,15.6,42.2,296
18,3.6,14,18.4,33.8,239
19,2.8,12.3,19.4,31.3,153
20,2,8.6,18,34.8,118
21,2,9.2,18.4,33.6,119
22,2.5,10.2,17.6,35.1,138
23,2.3,10.6,16.7,37.8,148
0,3.2,15.5,16.1,41,227
1,4.2,19.6,15.8,42.4,277
2,4.2,19.2,15.7,44.1,279
3,4.2,18.3,15.3,46.8,283
4,3.1,13.1,14.6,48.6,214
5,2.6,10.9,14.7,49.3,172
6,2.9,11,13.9,53.6,190
7,2.8,11.9,14.6,51.5,174
8,2.5,8.6,12.5,58.9,128
9,2.4,9.7,11.6,63.4,-200
10,-200,5.2,12.1,61.1,70
11,1.2,3.7,11.5,63.1,53
12,1,2.5,11.6,62.2,44
13,0.9,2.4,10.4,67.6,74
14,1.4,4.2,11.6,62.7,101
15,1.6,6.4,12.4,60,118
16,2.2,8.6,14.5,53.1,144
17,2.8,10.9,16.9,46.1,176
18,2.8,10.7,19.3,38.3,161
19,2,7.5,21.2,31.4,113
20,1.8,7.5,21.4,30.2,103
21,1.9,8.2,21.9,29,112
22,3,11.9,22.2,28.4,170
23,2.9,12,21.3,30.8,180
0,2.5,12.2,19.7,36.7,160
1,4.6,20.6,18.4,41.7,261
2,5.9,23.1,17.6,46.1,325
3,3.4,14.7,16.7,49.6,217
4,2.1,9,16.3,51,146
5,2.2,8.8,14.7,55.9,152
6,1.8,7.4,14.8,54.7,104
7,1.8,6.9,14,57,106
8,1.8,7,13.4,61.3,108
9,1.1,4.4,12.6,63.5,-200
10,-200,4,12.3,65.4,66
11,1,3.9,11.9,67.4,88
12,1.4,6.4,11.4,70.5,138
13,2.2,9.7,11.3,70.2,228
14,5.5,25.9,12.4,63.9,360
15,8.1,36.7,14.8,54.3,478
16,5.8,26.6,17.4,45.6,394
17,4.2,20.1,19.8,38.5,319
18,3.1,14.1,22,34.1,201
19,2.9,14.9,23.3,32.2,171
20,2.9,15.4,23.9,30,159
21,2.5,12.1,24.4,28.9,153
22,2.3,11.5,24.4,29.4,143
23,2.8,14.8,23.8,31.3,156
0,6.1,32.1,22.5,35.4,314
1,8,39.2,20.4,42.5,404
2,6.5,31,18.3,52.6,320
3,4.2,19.9,16.7,57.4,256
4,3.2,15.3,15.7,60.2,193
5,1.4,6.9,15.3,61.4,89
6,2.1,11.1,14.1,65.7,127
7,1.2,5.4,14.8,60.6,79
8,0.8,2.8,14.8,59.2,43
9,0.7,2.3,13.6,62.1,-200
10,-200,2.6,12.3,66.2,59
11,0.6,2,12.8,63.2,38
12,0.9,3.5,11.2,68.5,82
13,1.3,5.1,11,66.5,99
14,3.4,16.2,11.7,63.7,263
15,3.7,19.7,13.6,56.3,229
16,5.3,25.1,17.8,42.9,396
17,4.1,20,21.4,33.3,314
18,3.3,18.3,24.4,27.4,217
19,4,22.3,25.3,26.1,252
20,3.8,20.4,25.8,23.2,263
21,2.8,14.6,27,20.2,180
22,2.9,16.6,28.2,18.6,184
23,2.9,15.8,28,19.1,190
0,3.4,17.8,23.9,25.7,184
1,3.9,19.1,21.3,34.8,181
2,3.2,15.8,20.4,36.7,166
3,5.1,24.9,19,41.3,317
4,2.6,13.5,17.9,45.9,184
5,1.7,9.1,16.7,48.9,130
6,1.7,8.6,15.5,52.9,132
7,1.2,5.4,15.5,51.9,95
8,0.9,4.1,14.1,55.6,70
9,0.7,2.6,13.1,57.9,-200
10,-200,1.9,12.7,57.9,54
11,0.5,1.6,11.8,58,28
12,0.5,1.9,11.9,57.4,46
13,1.6,7.5,9.9,65.2,160
14,4.1,21.4,11.1,60.2,320
15,6.6,36.4,14.1,50,377
16,4.3,21.3,17.7,40.1,280
17,2.9,15.4,21.1,33.4,221
18,2.5,12.5,24.3,28.3,210
19,2.8,15.1,25.6,25.6,204
20,2.6,13.7,25.9,25.9,161
21,2,10.4,26.8,18.7,135
22,2.9,15.2,29.3,15.8,186
23,2.5,12.3,28.5,14.9,147
0,5,27,25.9,16,299
1,7.6,38.4,23.1,26.5,411
2,6.7,35.1,20.5,38.2,347
3,5.7,27.2,19.1,42.6,336
4,2.8,15,17.2,44.1,202
5,2.6,15.7,16,50.9,178
6,2.3,13,14.8,53.9,154
7,1.4,8.1,14.3,55.4,92
8,1,5.5,14.8,52.1,61
9,0.7,3.6,13.9,53.9,-200
10,-200,2.9,11.6,61.9,60
11,0.6,2.5,12,58.9,37
12,0.7,3,10.9,62.1,68
13,1.5,7.7,10.6,63.3,139
14,4.7,23.3,11.5,60,339
15,6.6,35.8,14.3,50.6,421
16,4.5,21.3,17.8,40.5,349
17,2.8,14.3,20.8,34.4,224
18,2.2,12.5,23.8,28.2,171
19,2.2,12.2,24.2,28.7,149
20,2.3,13.1,25.2,24.9,137
21,2.2,14.4,27,17.8,149
22,2.8,16.8,27.1,23.1,172
23,2.7,14.5,25.8,23.9,166
0,3.7,21.5,23,26.8,214
1,5.1,26.4,20.7,31.1,280
2,5.1,26,18.6,36.2,276
3,3.2,14.1,16,48.4,178
4,2.1,10.3,14.5,57.8,129
5,1.7,8.3,13.1,64.2,95
6,2,8.9,12,69.7,126
7,1.6,6.6,11.9,71.1,103
8,0.9,3.6,12.5,69.3,48
9,0.7,2.5,12.5,67.5,-200
10,-200,1.8,12.3,67.7,20
11,0.5,1.3,12.5,66.8,18
12,0.7,2.3,12.3,66.3,56
13,1.5,6.7,12.4,64.9,115
14,4.8,22.8,13,61.6,320
15,6.2,31.3,13.6,58.8,357
16,4,19.2,13.9,57.1,253
17,3.3,16.4,14.5,54.4,218
18,2.8,14,15.5,50.1,192
19,3,15.3,16.1,47.6,176
20,3.3,16.7,16.3,47.1,198
21,3.5,19,16.4,47.5,212
22,4,19.4,16.1,50.2,249
23,4.6,20.9,16,50.7,270
0,4.1,20.2,15.8,50.3,231
1,4.5,21.7,15.5,50.6,251
2,3.9,19.8,15.4,51.4,210
3,4,16.7,15.2,53.1,249
4,2.2,9.1,14.7,57.6,143
5,2.1,8.3,14.2,58.3,127
6,1.7,5.8,13.8,57.9,104
7,1.6,5.2,13.9,55.9,86
8,1.3,4.1,13.9,55.6,74
9,1.3,3.4,13.8,55.1,-200
